Year,Pais,Region,Consumo_gob,Crecimiento_eco,Regulacion_eco,Libertad_exp,Dinero_sol
2021,Guinea-Bissau,Sub-Saharan Africa,7.5692004350686,9.63990329967622,4.96477957370892,5.42722222222222,6.87465050832484
2021,Guyana,Latin America & the Caribbean,5.40540540540541,9.93296129674326,5.83134697318076,7.980125,6.72834032927726
2021,Haiti,Latin America & the Caribbean,9.67352941176471,8.41489513513924,6.02318073207467,5.54345799281011,7.16161867915104
2021,Honduras,Latin America & the Caribbean,7.44117647058824,8.39340760395699,6.30662667351967,4.65853680453969,9.26028453712613
2021,"Hong Kong SAR, China",East Asia,7,9.12318824107268,8.64049333870389,5.28983333333333,9.57142036965404
2021,Hungary,Eastern Europe,2.88823529411765,8.43640271400778,6.63053537759148,5.4769,9.25180894205834
2021,Iceland,Western Europe,1.53823529411765,9.38631568328356,7.11802518780232,8.92854166666667,9.41737676312752
2021,India,South Asia,7.13529411764706,9.1228143284315,5.98119047357094,5.43693147498706,7.99447154726247
2021,Indonesia,South Asia,7.61470588235294,9.46369511414122,5.90865026135433,7.05183798687058,9.53649032241645
2021,"Iran, Islamic Rep.",Middle East & North Africa,4.46764705882353,8.58967789483967,4.4874716390971,1.66915847431323,5.89944377863485
2021,Iraq,Middle East & North Africa,2.94411764705882,8.63622083902882,5.86681262404683,3.16795109129657,7.52742947545028
2021,Ireland,Western Europe,1.72647058823529,8.14511047572911,8.20078949486271,9.850875,9.21954112238445
2021,Israel,Middle East & North Africa,2.64411764705882,8.95784784244157,7.33153442704697,5.46137177422414,9.58199019934724
2021,Italy,Western Europe,4.35,6.85597112188872,6.89168964236804,8.20304166666667,9.09304329630717
2021,Jamaica,Latin America & the Caribbean,6.34117647058823,8.00327470881631,7.53732512444441,9.74013333333333,9.03191796990129
2021,Japan,East Asia,3.39411764705882,9.4790267823014,7.81966213277864,8.900375,9.78962439443917
2021,Jordan,Middle East & North Africa,6.44411764705882,9.91177448607701,7.55098940774039,4.27447384670966,9.82565524922714
2021,Kazakhstan,Caucasus & Central Asia,6.33235294117647,9.61020143060709,6.77464507949935,2.97631981524703,9.15070182600653
2021,Kenya,Sub-Saharan Africa,7.69705882352941,9.343693853003,6.8280813292073,6.06155555555556,9.31271456720884
2021,"Korea, Rep.",East Asia,3.45882352941177,9.2403266275188,7.29729063478294,7.99175555555556,9.54164155418129
2021,Kuwait,Middle East & North Africa,0.83620550068238,9.58063622962142,6.54131372897844,4.91023333333333,8.19644214469905
2021,Kyrgyz Republic,Caucasus & Central Asia,6.64411764705882,8.12796553799618,6.7656264282401,4.83702222222222,8.29078362150556
2021,Lao PDR,South Asia,5.55147028407047,6.35180582818553,5.61653161131862,2.52848888888889,7.51516934004362
2021,Latvia,Eastern Europe,3.95882352941177,7.531404306553,7.75311889247749,8.35774444444444,8.96626138644558
2021,Lebanon,Middle East & North Africa,10,9.87632208537228,5.32382735626985,5.16334032953092,4.96908052134307
2021,Lesotho,Sub-Saharan Africa,1.83375283264296,8.45848090640382,5.82992593164752,5.99285555555556,7.83670905101494
2021,Liberia,Sub-Saharan Africa,2.24788907401655,9.86328314841479,4.5917117370114,7.39075555555556,9.06877750518859
2021,Libya,Middle East & North Africa,0,9.30571532651669,4.31344851424856,3.86038097380664,7.14142883162917
2021,Lithuania,Eastern Europe,4.94705882352941,7.56409856723432,7.79625708457009,8.36117777777778,8.96853324304441
2021,Luxembourg,Western Europe,1,7.44638046156822,8.13561767233577,9.74666666666667,9.07444988200956
2021,Madagascar,Sub-Saharan Africa,5.08823529411765,8.5486372289089,5.45158953270417,5.39984444444444,7.93230860293149
2021,Malawi,Sub-Saharan Africa,8.84723387185004,7.25329638448756,5.92057289845887,7.2084,7.3756550669007
2021,Malaysia,South Asia,6.47058823529412,4.22226283359781,7.53617461851759,6.32585555555556,8.15704877466264
2021,Mali,Sub-Saharan Africa,6.44705882352941,8.74457698404368,6.00016500956984,5.8871478444206,6.91825383605559
2021,Malta,Western Europe,2.20294117647059,7.64430580278305,7.77892828768293,6.63591666666667,9.29885918949553
2021,Mauritania,Sub-Saharan Africa,5.07352941176471,9.13161416728692,6.08595657201077,5.01087777777778,7.9552039902906
2021,Mauritius,Sub-Saharan Africa,6.22941176470588,8.61825823248137,6.83553048059993,7.44166666666667,9.34981311307525
2021,Mexico,Latin America & the Caribbean,7.21470588235294,8.80887763043915,6.33043384771652,5.75856532184761,8.04460706065806
2021,Moldova,Eastern Europe,6.80588235294118,8.63641192373409,6.41584821931239,7.28196666666667,8.03228659178368
2021,Mongolia,East Asia,5.31470588235294,7.99228501431298,6.76489087081818,7.45631111111111,8.74065062191767
2021,Montenegro,Eastern Europe,5.51176470588235,9.75532251451952,7.92946138286746,7.38711111111111,9.61253371098947
2021,Morocco,Middle East & North Africa,4.76470588235294,9.52682457932457,6.50729944955807,3.51442222222222,7.20952033595587
2021,Mozambique,Sub-Saharan Africa,5.37941176470588,8.8993228943017,5.78805931176197,5.53533333333333,6.49681823429171
2021,Myanmar,South Asia,2.98235294117647,8.51588372251747,5.18629679234751,2.22472473324851,6.65862346857416
2021,Namibia,Sub-Saharan Africa,4.34117647058824,8.6785487903349,5.53904538224166,8.59825555555556,6.70388684734422
2021,Nepal,South Asia,9.08823529411765,8.07070521603114,6.97400132532858,6.58725411836689,6.63107326011671
2021,Netherlands,Western Europe,0.438235294117648,7.18893948757189,7.67003066840031,9.43022352148738,9.09666249690644
2021,New Zealand,Oceania,3.75294117647059,9.3016468498318,8.95488935879099,9.62641666666667,9.41990783890586
2021,Nicaragua,Latin America & the Caribbean,7.05882352941177,9.77242377848293,6.0209072341385,2.53601473492159,9.59026548351522
2021,Niger,Sub-Saharan Africa,6.05882352941177,9.90337939916282,6.14309110383873,6.1134018078978,7.15722361355782
2021,Nigeria,Sub-Saharan Africa,9.52941176470588,9.12906033648002,6.77303192121087,6.58583654388203,8.81130541629623
2021,North Macedonia,Eastern Europe,6.14411764705882,9.01621446180586,7.69292855122222,7.58113333333333,8.19349801441741
2021,Norway,Western Europe,0.744117647058824,9.15937550075686,7.3162010989921,9.85545833333333,8.82824690426032
2021,Oman,Middle East & North Africa,1.96470588235294,9.39921094448902,6.27372634755977,3.66776666666667,8.6855703738373
2021,Pakistan,South Asia,8.35294117647059,8.83442026219507,5.75569560298882,4.28622544821442,6.37223954814218
2021,Panama,Latin America & the Caribbean,4.75294117647059,8.45163849186665,6.5488864728622,7.6624,9.36316008866247
2021,Papua New Guinea,Oceania,3.53973721648287,9.41844662483277,6.4049946866494,7.86925555555556,6.71115138263985
2021,Paraguay,Latin America & the Caribbean,6.87941176470588,8.79578356339874,6.57203032159993,6.01457538626301,9.25411215311339
2021,Peru,Latin America & the Caribbean,6.25,9.71730565395156,7.15137699292031,7.94348888888889,9.4441182863291
2021,Philippines,South Asia,6.7264705882353,9.27875903344578,6.61778955856894,4.53722243286984,9.51346378422626
2021,Poland,Eastern Europe,4.40588235294118,8.99164424850352,7.09099244585061,7.10347777777778,8.08781981292786
2021,Portugal,Western Europe,5.04411764705882,7.00993670250089,6.87185966631441,9.833875,9.1687404130268
2021,Qatar,Middle East & North Africa,0,9.66779276213638,6.26551016200326,4.34123333333333,8.31873041595846
2021,Romania,Eastern Europe,5.33235294117647,8.68287062759777,7.02674691736972,7.78513333333333,9.29773429303092
2021,Russian Federation,Eastern Europe,4.06176470588235,8.43878739971055,5.57913220265431,3.25775488624003,8.662101224678
2021,Rwanda,Sub-Saharan Africa,6.18823529411765,8.41729208514154,6.85377036545675,2.96324444444445,9.21058196380694
2021,Saudi Arabia,Middle East & North Africa,0.864705882352941,9.68331159916633,6.21492411587225,1.32182939490752,8.85784930757035
2021,Senegal,Sub-Saharan Africa,6.60294117647059,9.15635958764985,6.05484771989047,7.34673333333334,7.14273663046813
2021,Serbia,Eastern Europe,5.77941176470588,8.5330052042952,6.82750254816569,5.50065555555556,8.02264944688599
2021,Seychelles,Sub-Saharan Africa,0,7.80195903388688,6.78141784656822,7.82933333333333,8.56124460493292
2021,Sierra Leone,Sub-Saharan Africa,9.86470588235294,7.54188423534767,4.76434374807114,7.00374444444444,7.21303339276171
2021,Singapore,South Asia,3.77647058823529,9.28423034109128,8.74118403242924,4.41901111111111,9.45078519528217
2021,Slovak Republic,Eastern Europe,3.73235294117647,7.4147263057032,7.08560795608734,7.84691446936231,9.14469962481529
2021,Slovenia,Eastern Europe,3.30294117647059,8.09142976360903,6.81000290969534,6.9427,9.37526755971716
2021,Somalia,Sub-Saharan Africa,10,0,4.19686244517421,2.62416712360661,7.28592670271492
2021,South Africa,Sub-Saharan Africa,4.65882352941177,8.97385087116594,6.35455953181345,7.95058888888889,8.16307655637486
2021,Spain,Western Europe,3.65,7.06919023358641,7.26878760367859,8.15516666666667,9.06220722173818
2021,Sri Lanka,South Asia,7.93235294117647,8.78596735382512,6.08890560019276,6.71581945778915,6.56971006512521
2021,Sudan,Sub-Saharan Africa,8.41470588235294,0,4.01758973347473,4.27962222222222,1.25
2021,Suriname,Latin America & the Caribbean,6.36480325764617,6.74530290463651,6.27870850085072,7.73425,4.29315156503626
2021,Sweden,Western Europe,0.855882352941175,8.76649892107684,7.83285948107987,9.81033333333333,9.53555878846065
2021,Switzerland,Western Europe,6.01470588235294,9.75253279438025,7.97203006794505,9.92179166666667,9.84593423850151
2021,Syrian Arab Republic,Middle East & North Africa,6.82205507118063,9.25287887250054,3.47127797638783,0.390522222222222,4.81321971812514
2021,Taiwan,East Asia,4.92562676039945,9.30571945415524,7.6932208659596,8.66431111111111,9.55720101455892
2021,Tajikistan,Caucasus & Central Asia,7.98630198476798,8.78107770291972,6.20934678866907,3.10987422232627,9.05924781834124
2021,Tanzania,Sub-Saharan Africa,7.95,9.99941510789889,6.52630737196273,4.88940526925576,8.37658519036398
2021,Thailand,South Asia,4.15294117647059,9.81167681442656,6.63339326253398,4.19161708540114,9.75870678412988
2021,Timor-Leste,South Asia,0,9.62434602234428,5.15094949097547,8.46258888888889,7.21758650558607
2021,Togo,Sub-Saharan Africa,7.3,9.46327723193484,6.43154866993768,6.39305555555556,7.07284818318655
2021,Trinidad and Tobago,Latin America & the Caribbean,6.00104080123435,9.37872628975721,5.9956526988319,9.50534444444444,9.01177727577777
2021,Tunisia,Middle East & North Africa,5.26470588235294,8.53828262890985,5.76785215123369,7.00487777777778,7.9882699517289
2021,Turkey,Middle East & North Africa,6.14411764705882,6.86037827454101,5.70770628598293,3.09015796741722,7.53646836284454
2021,Uganda,Sub-Saharan Africa,8.20588235294118,8.69523966893955,6.32222888147768,4.28000975225156,9.39744931406724
2021,Ukraine,Eastern Europe,5.68529411764706,7.65551165044789,5.36450091114334,5.98248602055678,6.95652013182568
2021,United Arab Emirates,Middle East & North Africa,3.8266637013742,9.66078185110143,7.46644030141123,2.51948888888889,8.98510359551072
2021,United Kingdom,Western Europe,3.81764705882353,9.21134135483569,7.74748444204109,9.6091534205697,9.49416747641123
2021,United States,North America,6.64117647058824,8.95936496094583,8.28994912254767,8.9395158320922,9.3797728747633
2021,Uruguay,Latin America & the Caribbean,5.25485766707125,8.16317990461475,6.65587652305112,9.74016666666667,8.86425566310791
2021,"Venezuela, RB",Latin America & the Caribbean,9.18896294149844,3.77973837448757,2.17267035033061,3.8211246678913,0.944934593621893
2021,Vietnam,South Asia,7.41764705882353,8.92313872548458,6.10237393830603,1.80628888888889,7.0248350375202
2021,"Yemen, Rep.",Middle East & North Africa,8.74696734677644,9.93229896234623,3.07608517146989,1.61571796508092,2.48307474058656
2021,Zambia,Sub-Saharan Africa,1.68235294117647,6.95172254095867,4.89374693047858,5.47044444444444,7.32915380601646
2021,Zimbabwe,Sub-Saharan Africa,6.88823529411765,0,4.53557816298156,4.51261111111111,1.25
